2025/08/04 17:53:14 gin logger: {Formatter:0x1a29ee0 Output:0xc0002114a0 SkipPaths:[/api/clients/all] Skip:<nil>}
2025/08/04 17:53:14 Registering: auth middleware
2025/08/04 17:59:11 gin logger: {Formatter:0x1a29ee0 Output:0xc0000c7140 SkipPaths:[/api/clients/all] Skip:<nil>}
2025/08/04 17:59:11 Registering: auth middleware
2025/08/04 17:59:11 INFO StartUp listen="About to listen on 9090"
[] 2025/08/04 - 18:05:10 | 204 |      10.948µs |             ::1 | OPTIONS  "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:05:10 | 204 |       6.373µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:10 | 404 |       5.595µs |             ::1 | GET      "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:05:10 | 404 |      14.632µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:12 | 204 |       11.32µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:12 | 204 |       8.687µs |             ::1 | OPTIONS  "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:05:12 | 404 |       3.753µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:12 | 404 |       5.197µs |             ::1 | GET      "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:05:14 | 204 |       7.645µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:14 | 404 |      11.508µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:14 | 204 |       7.706µs |             ::1 | OPTIONS  "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:05:14 | 404 |       5.918µs |             ::1 | GET      "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:05:18 | 204 |       26.98µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:18 | 404 |       6.398µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:05:19 | 204 |      10.628µs |             ::1 | OPTIONS  "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:05:19 | 404 |       4.961µs |             ::1 | GET      "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:03 | 204 |       8.087µs |             ::1 | OPTIONS  "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:03 | 204 |       4.325µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:08:03 | 204 |       4.201µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:03 | 404 |       6.321µs |             ::1 | GET      "/api/v1/servers/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:03 | 404 |       5.406µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:08:03 | 401 |    1.292319ms |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:04 | 204 |      18.277µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:08:04 | 204 |       4.492µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:04 | 404 |       3.019µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:08:04 | 401 |      947.92µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:07 | 204 |       8.008µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:07 | 204 |       7.034µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:08:07 | 401 |     174.399µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:07 | 404 |       6.426µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:08:11 | 204 |       7.203µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:11 | 401 |     181.195µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:08:11 | 204 |       8.481µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:08:11 | 404 |       6.826µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:04 | 204 |       8.425µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:04 | 204 |       8.383µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:04 | 404 |      75.327µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:04 | 401 |     203.386µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:06 | 204 |       7.269µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:06 | 204 |       5.889µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:06 | 404 |      11.656µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:06 | 401 |     252.753µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:08 | 204 |       9.113µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:08 | 204 |        7.74µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:08 | 404 |       5.427µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:08 | 401 |      180.17µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
